PK	Идентификатор записи
NPP	Порядковый номер ИП
NUM_IP	Номер ИП
DATE_IP_IN	Дата возбуждения ИП
DATE_TOW_MONTHS	Дата исполнения
DATE_DONE_SELF	Дата для добровольного исполнения
OVIP	Признак контроля ОВИП
DATE_OVIP_IN	Дата постановки на контроль
FIO_OVIP_KONTROL	ФИО лица осуществляющего контроль
OVIP_KONTROL_TYPE	Категория контроля
DATE_SVOD_IN	Дата присоединения ИП к сводному
PK_SVOD	Ссылка на сводное ИП
SOLID_NUM	Количество ИП в составе сводного
RESULT	Результат исполнения
REASON_OUT	Причина окончания
DATE_IP_OUT	Дата окончания
TOTAL_SUM	Взысканно расходов
DATE_IP_ARCH	Дата передачи в архив
SUM_IS	Сумма ИС подлежащая взысканию
FAKT_SUM_IS	Взысканная сумма ИС
TOTAL_SUM_ID	Сумма расходов подлежащая взысканию
SDC	Код структурного подразделения судебных приставов ТО ФССП России
USCODE	Код пользователя
SUM_	Сумма взыскания
DAYS_DONE_SELF	Срок для добровольного исполнения
PK_ID	Внешний ключ к таблице ID
D_IN	Дата регистрации ИД
VT5	Размер по алиментам
SUM_ID	Сумма взыскания по ИД
COUNT_DAYS	Количество дней приостановки
NOTES	Примечание
FIO_ARCH	ФИО архивариуса
FIO_SPI	ФИО СПИ
DATE_SPI_TAKE	Дата передачи на исполнение
NAME_ID	Наименование ИД
NUM_ID	Номер ИД
DATE_ID_SEND	Дата ИД
DATE_LOW_IN	Дата вступления в законную силу
NAME_D	Наименование должника
NAME_V	Наименование взыскателя
ADR_D	Адрес должника
ADR_V	Адрес взыскателя
NAME_ORG_ID	Наименование органа выдавшего ИД
WHY	Предмет исполнения
NUM_DELO	Номер дела
DATE_DELO	Дата дела
NUM_PP	Номер подпункта статьи окончания
TEXT_PP	Текст подпункта статьи окончания
ADR_ORG	Адрес органа выдавшего ИД
OLDNUM_IP	Старый номер ИП
MAIN_DOLG	Сумма взысконного основного долга
DATE_BORN_D	Дата рождения должника
INND	ИНН должника
NUMP26	Номер статьи окончания
SAVE_TIME_IP	Срок хранения ИП
NUM_LIST_IP	Номер описи ИП
NUM_IP_IN_LIST	Номер ИП в описи
FK	Ссылка на архивную опись
IP_ERROR	Логические ошибок
FIO_ARCHIVE	ФИО архивариуса принявшего опись
NUMAKT	Номер акта передачи
FK_BZ	Внешний ключ к таблице BOOKZONE
VID_ID_KEY	Вид ИД (код)
VID_ID_TTL	Вид ИД (Наименование)
VID_ORG_ID_KEY	Вид органа выдавшего ИД (код)
VID_ORG_ID_TTL	Вид органа выдавшего ИД (Наименование)
VIDD_KEY	Вид должника (код)
VIDD_TTL	Вид должника (Наименование)
VIDV_KEY	Вид взыскателя (код)
VIDV_TTL	Вид взыскателя (Наименование)
SISP_KEY	Сущность исполнения (код)
SISP_TTL	Сущность исполнения (Наименование)
BUDG_POL_KEY	Классификатор бюджетополучатель (код)
BUDG_POL_TTL	Классификатор бюджетополучатель (наименование)
FIN_PYR_KEY	Классификатор финансовые пирамиды (код)
FIN_PYR_TTL	Классификатор финансовые пирамиды (Наименование)
DATE_TWO_MONTHS_BASE	Дата приостановки
DAYS_TWO_MONTHS	Срок исполнения
DATE_POST_VOZB	Дата постановления о возбуждении
SSD	Признак сводного по должнику
SSV	Признак сводного по взыскателю
SVOD_NUM	Номер сводного ИП 
UP_ORDER	Признак наличия ИП с более высокой очередностью взыскания
MAIN_D	Признак основного экземпляра
FK_IPIS	Ссылка на ИП возбужденного по постановлению СПИ о взыскании ИС
FK_PARENT_IP	Ссылка на ИП из которого выделен ИС в самостоятельное ИП
RECALL_SUM	Отозванная сумма
NUM_IN	Регистрационный номер ИП
D_POST	Дата постановления ГСП
FK_IPTOTAL	Ссылка на ИП выделенное по расходам
FK_IPSH	Ссылка на ИП выделенное по штрафам
PARENT_NUM_IP	Номер ИП родителя
DATE_ABANDONMENT	Дата получения уведомления об отказе получения постановления о возбуждении
ABSENCE_DEBTOR	Признак отсутствия должника
NUM_IP_TO_TRANSFER	Номер ИП до разделения
